filepath,source,original_label,label,label_id,split
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/348129.wav,FSD50K-eval,"Bark,Dog,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/33567.wav,FSD50K-dev,"Growling,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/12708.wav,FSD50K-dev,"Subway_and_metro_and_underground,Rail_transport,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/154428.wav,FSD50K-dev,"Crying_and_sobbing,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/199277.wav,FSD50K-eval,"Applause,Cheering,Shout,Human_group_actions,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/165243.wav,FSD50K-dev,"Livestock_and_farm_animals_and_working_animals,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/149140.wav,FSD50K-eval,"Camera,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/347034.wav,FSD50K-dev,"Male_speech_and_man_speaking,Applause,Clapping,Speech,Human_voice,Human_group_actions,Hands",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/256392.wav,FSD50K-dev,"Singing,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/238492.wav,FSD50K-dev,"Breathing,Respiratory_sounds",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/221153.wav,FSD50K-dev,"Screaming,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/160737.wav,FSD50K-dev,Engine,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/377028.wav,FSD50K-dev,"Applause,Human_group_actions",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/221151.wav,FSD50K-dev,"Screaming,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/208656.wav,FSD50K-eval,"Shatter,Engine,Truck,Mechanisms,Glass,Motor_vehicle_(road),Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/274980.wav,FSD50K-dev,"Male_speech_and_man_speaking,Speech,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/366996.wav,FSD50K-eval,"Tick-tock,Clock,Mechanisms",motor,2,train
data/ESC-50/audio/4-161100-A-47.wav,ESC-50,airplane,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/260243.wav,FSD50K-dev,"Raindrop,Rain,Water",rain_wind,3,train
data/ESC-50/audio/2-81731-A-10.wav,ESC-50,rain,rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/26137.wav,FSD50K-dev,"Speech,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/233169.wav,FSD50K-dev,"Livestock_and_farm_animals_and_working_animals,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/257349.wav,FSD50K-dev,"Raindrop,Drip,Rain,Water,Liquid",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/251885.wav,FSD50K-dev,"Acoustic_guitar,Human_voice,Guitar,Plucked_string_instrument,Musical_instrument,Music",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/427054.wav,FSD50K-dev,"Car,Motor_vehicle_(road),Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/95946.wav,FSD50K-dev,"Race_car_and_auto_racing,Accelerating_and_revving_and_vroom,Car,Motor_vehicle_(road),Vehicle,Engine",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/364805.wav,FSD50K-dev,"Bicycle_bell,Alarm,Bicycle,Vehicle,Bell",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/61059.wav,FSD50K-dev,"Camera,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/263961.wav,FSD50K-dev,"Fixed-wing_aircraft_and_airplane,Aircraft,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/64525.wav,FSD50K-dev,Fart,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/431841.wav,FSD50K-dev,"Vehicle_horn_and_car_horn_and_honking,Car,Motor_vehicle_(road),Vehicle,Alarm",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/166246.wav,FSD50K-dev,"Printer,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/326242.wav,FSD50K-dev,"Car,Motor_vehicle_(road),Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/236503.wav,FSD50K-dev,"Whispering,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/156206.wav,FSD50K-dev,"Walk_and_footsteps,Slam,Door,Domestic_sounds_and_home_sounds",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/413854.wav,FSD50K-dev,"Wind,Rain,Water",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/7312.wav,FSD50K-dev,"Wind,Ocean,Water",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/151792.wav,FSD50K-dev,"Camera,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/170883.wav,FSD50K-eval,"Frog,Wild_animals,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/237351.wav,FSD50K-dev,"Applause,Crowd,Cheering,Human_group_actions",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/141273.wav,FSD50K-dev,"Train,Rail_transport,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/336894.wav,FSD50K-dev,"Siren,Alarm",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/338127.wav,FSD50K-dev,"Engine_starting,Motorcycle,Engine,Motor_vehicle_(road),Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/242036.wav,FSD50K-dev,"Applause,Crowd,Human_group_actions",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/74668.wav,FSD50K-dev,Fart,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/242623.wav,FSD50K-dev,Human_voice,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/23710.wav,FSD50K-eval,"Knock,Stream,Traffic_noise_and_roadway_noise,Water,Motor_vehicle_(road),Vehicle,Door,Domestic_sounds_and_home_sounds",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/148013.wav,FSD50K-dev,Animal,animal,5,train
data/ESC-50/audio/2-103427-A-3.wav,ESC-50,cow,animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/191990.wav,FSD50K-dev,"Livestock_and_farm_animals_and_working_animals,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/270877.wav,FSD50K-dev,"Camera,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/22935.wav,FSD50K-dev,"Thunder,Rain,Water,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/349152.wav,FSD50K-dev,"Motorcycle,Accelerating_and_revving_and_vroom,Motor_vehicle_(road),Vehicle,Engine",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/68724.wav,FSD50K-dev,"Sawing,Tools",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/22937.wav,FSD50K-dev,"Thunder,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/273896.wav,FSD50K-dev,"Dog,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/185457.wav,FSD50K-eval,"Wind_chime,Wind,Chime,Bell",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/221665.wav,FSD50K-eval,"Fixed-wing_aircraft_and_airplane,Engine,Aircraft,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/388314.wav,FSD50K-dev,"Clock,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/381363.wav,FSD50K-dev,"Applause,Human_group_actions",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/132815.wav,FSD50K-dev,"Laughter,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/265541.wav,FSD50K-dev,"Meow,Cat,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/218386.wav,FSD50K-eval,Wind,rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/236141.wav,FSD50K-dev,"Bark,Dog,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/74663.wav,FSD50K-dev,Fart,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/73297.wav,FSD50K-dev,"Aircraft,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/194243.wav,FSD50K-dev,"Bicycle,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/200344.wav,FSD50K-dev,"Meow,Cat,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/90651.wav,FSD50K-eval,"Squeak,Car_passing_by,Car,Motor_vehicle_(road),Vehicle",motor,2,train
data/ESC-50/audio/5-198891-A-8.wav,ESC-50,sheep,animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/239203.wav,FSD50K-dev,Mechanisms,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/267919.wav,FSD50K-dev,"Bicycle,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/272114.wav,FSD50K-eval,"Finger_snapping,Hands",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/63487.wav,FSD50K-dev,Fart,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/275600.wav,FSD50K-dev,"Thunder,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/44735.wav,FSD50K-dev,Engine,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/405602.wav,FSD50K-dev,"Laughter,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/220365.wav,FSD50K-dev,"Screaming,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/175856.wav,FSD50K-dev,"Traffic_noise_and_roadway_noise,Vehicle_horn_and_car_horn_and_honking,Car,Motor_vehicle_(road),Vehicle,Alarm",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/346898.wav,FSD50K-eval,"Cheering,Shout,Human_group_actions,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/77318.wav,FSD50K-dev,"Singing,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/22934.wav,FSD50K-dev,"Thunder,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/51032.wav,FSD50K-dev,Wind,rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/327769.wav,FSD50K-dev,"Rain,Water",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/60681.wav,FSD50K-dev,Human_voice,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/241898.wav,FSD50K-dev,"Applause,Human_group_actions",human,1,train
data/ESC-50/audio/1-69422-A-3.wav,ESC-50,cow,animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/251845.wav,FSD50K-dev,"Acoustic_guitar,Drum,Human_voice,Percussion,Musical_instrument,Music,Guitar,Plucked_string_instrument",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/362665.wav,FSD50K-dev,"Shout,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/354132.wav,FSD50K-dev,"Frog,Wild_animals,Animal",animal,5,train
data/ESC-50/audio/5-133989-A-42.wav,ESC-50,siren,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/71043.wav,FSD50K-dev,Fart,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/403431.wav,FSD50K-dev,"Car,Motor_vehicle_(road),Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/117941.wav,FSD50K-dev,"Clock,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/185069.wav,FSD50K-dev,"Growling,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/107451.wav,FSD50K-dev,Engine,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/316616.wav,FSD50K-eval,"Train,Rail_transport,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/113514.wav,FSD50K-dev,"Crowd,Fireworks,Human_group_actions,Explosion",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/127818.wav,FSD50K-dev,"Subway_and_metro_and_underground,Rail_transport,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/123965.wav,FSD50K-dev,"Subway_and_metro_and_underground,Rail_transport,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/350425.wav,FSD50K-dev,Animal,animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/257711.wav,FSD50K-eval,"Crying_and_sobbing,Human_voice",human,1,train
data/ESC-50/audio/4-208021-A-1.wav,ESC-50,rooster,animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/261847.wav,FSD50K-dev,"Boat_and_Water_vehicle,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/331704.wav,FSD50K-eval,"Tick-tock,Clock,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/412559.wav,FSD50K-eval,"Tick-tock,Clock,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/66512.wav,FSD50K-dev,"Meow,Cat,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/280205.wav,FSD50K-dev,Wind,rain_wind,3,train
data/ESC-50/audio/4-186940-A-44.wav,ESC-50,engine,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/417940.wav,FSD50K-dev,"Female_singing,Singing,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/102993.wav,FSD50K-eval,"Applause,Singing,Organ,Human_group_actions,Human_voice,Keyboard_(musical),Musical_instrument,Music",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/63637.wav,FSD50K-dev,"Screaming,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/43151.wav,FSD50K-dev,"Cough,Respiratory_sounds",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/109625.wav,FSD50K-dev,"Laughter,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/323318.wav,FSD50K-eval,"Dog,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/417593.wav,FSD50K-dev,"Clock,Mechanisms",motor,2,train
data/ESC-50/audio/5-200339-A-1.wav,ESC-50,rooster,animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/249950.wav,FSD50K-dev,"Thunder,Rain,Water,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/185633.wav,FSD50K-dev,"Bicycle,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/130030.wav,FSD50K-dev,"Bark,Dog,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/31417.wav,FSD50K-dev,"Female_singing,Singing,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/350812.wav,FSD50K-dev,"Rain,Water",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/327756.wav,FSD50K-eval,"Singing,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/75708.wav,FSD50K-dev,"Clock,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/136579.wav,FSD50K-dev,"Subway_and_metro_and_underground,Rail_transport,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/422157.wav,FSD50K-eval,"Rattle,Human_group_actions",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/252226.wav,FSD50K-dev,Human_voice,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/95056.wav,FSD50K-dev,"Engine,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/194872.wav,FSD50K-dev,Thunderstorm,rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/74723.wav,FSD50K-eval,"Bark,Dog,Domestic_animals_and_pets,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/347372.wav,FSD50K-dev,"Thunder,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/189757.wav,FSD50K-eval,"Skateboard,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/193784.wav,FSD50K-dev,"Male_speech_and_man_speaking,Stream,Trickle_and_dribble,Speech,Human_voice,Water,Pour,Liquid",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/381775.wav,FSD50K-dev,"Vehicle_horn_and_car_horn_and_honking,Car,Motor_vehicle_(road),Vehicle,Alarm",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/248047.wav,FSD50K-dev,"Speech,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/324417.wav,FSD50K-dev,"Thunder,Rain,Water,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/79133.wav,FSD50K-dev,Chewing_and_mastication,human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/10000.wav,FSD50K-dev,"Breathing,Respiratory_sounds",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/78789.wav,FSD50K-dev,"Bicycle,Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/148416.wav,FSD50K-dev,"Growling,Animal",animal,5,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/371829.wav,FSD50K-dev,Engine,motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/16942.wav,FSD50K-eval,"Printer,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/196853.wav,FSD50K-dev,"Speech,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/99083.wav,FSD50K-dev,"Thunder,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/345138.wav,FSD50K-eval,"Rattle,Cutlery_and_silverware,Tap,Tick-tock,Drawer_open_or_close,Domestic_sounds_and_home_sounds,Clock,Mechanisms",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/418084.wav,FSD50K-dev,"Thunder,Rain,Water,Thunderstorm",rain_wind,3,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/425527.wav,FSD50K-dev,"Car_passing_by,Car,Motor_vehicle_(road),Vehicle",motor,2,train
/Volumes/Extreme SSD/data/4060432/FSD50K.eval_audio_16k/77119.wav,FSD50K-eval,"Male_speech_and_man_speaking,Speech_synthesizer,Speech,Human_voice",human,1,train
/Volumes/Extreme SSD/data/4060432/FSD50K.dev_audio_16k/105304.wav,FSD50K-dev,"Thunder,Thunderstorm",rain_wind,3,train
